	log_likelihood
1310	315.68265
1311	279.807
1312	263.99832
1313	257.7962
1314	261.49774
1315	203.1391
1316	289.4423
1317	270.39502
1318	304.10504
1319	308.9448
1320	259.5114
1321	310.75552
1322	293.7657
1323	327.68143
1324	237.57681
1325	280.98575
1326	-49.900135
1327	206.04366
1328	306.6002
1329	283.70264
1330	303.4186
1331	277.39468
1332	318.76587
1333	303.6031
1334	286.81927
1335	233.52872
1336	316.0843
1337	254.28134
1338	331.61377
1339	254.53389
1340	314.49246
1341	299.57388
1342	283.5903
1343	319.07675
1344	236.87778
1345	272.12262
1346	306.3011
1347	268.774
1348	321.10284
1349	306.78607
1350	274.15436
1351	310.9699
1352	308.55038
1353	310.51874
1354	318.55304
1355	321.82422
1356	186.21036
1357	199.80734
1358	316.8985
1359	302.7557
1360	317.96036
1361	297.44543
1362	260.13443
1363	216.998
1364	274.76932
1365	315.87296
1366	308.46075
1367	156.8188
1368	219.0664
1369	314.38293
1370	325.33896
1371	319.24478
1372	320.00613
1373	294.58566
1374	308.59094
1375	234.26407
1376	244.2445
1377	291.59387
1378	283.97388
1379	315.48007
1380	320.8043
1381	298.8379
1382	312.3662
1383	280.23358
1384	311.54086
1385	324.1795
1386	323.4311
1387	288.01337
1388	260.76105
1389	182.94812
1390	183.75908
1391	324.22675
1392	297.063
1393	276.1265
1394	307.6857
1395	251.34421
1396	299.99298
1397	250.66936
1398	297.5849
1399	305.7751
1400	150.55168
1401	316.8528
1402	258.84317
1403	296.5846
1404	304.74997
1405	315.3135
1406	315.95496
1407	253.00858
1408	305.916
1409	304.8333
1410	316.83774
1411	115.976074
1412	266.38812
1413	313.4081
1414	318.7257
1415	308.60504
1416	256.54843
1417	270.5176
1418	316.6469
1419	202.32071
1420	244.45268
1421	319.5324
1422	307.54547
1423	286.14874
1424	286.04657
1425	257.9005
1426	304.0562
1427	281.1026
1428	257.99332
1429	245.23116
1430	304.84662
1431	103.84434
1432	283.5707
1433	221.60323
1434	238.4959
1435	316.4819
1436	296.01544
1437	190.00671
1438	173.10616
1439	301.6301
1440	223.47697
1441	310.80426
1442	253.78085
1443	304.60196
1444	184.95496
1445	286.9042
1446	282.5855
1447	170.71448
1448	280.6543
1449	313.67325
1450	238.25479
1451	289.33795
1452	312.00226
1453	237.91785
1454	242.74272
1455	152.57886
1456	275.30243
1457	253.5837
1458	322.27597
1459	330.02936
1460	276.8459
1461	299.20074
1462	208.24588
1463	292.32593
1464	270.2354
1465	306.36392
1466	93.65239
1467	275.98297
1468	245.2408
1469	293.4241
1470	304.202
1471	310.49448
1472	319.7712
1473	212.08615
1474	288.62457
1475	301.8471
1476	247.24951
1477	274.3776
1478	217.80403
1479	309.91318
1480	297.1172
1481	134.2949
1482	132.25021
1483	266.779
1484	282.14175
1485	299.8438
1486	313.9643
1487	287.5953
1488	264.98407
1489	304.50772
1490	292.58066
1491	288.49362
1492	300.094
1493	222.06587
1494	225.34016
1495	219.04929
1496	263.22055
1497	244.6525
1498	310.91724
1499	237.82195
1500	296.07382
1501	272.91583
1502	306.6485
1503	293.44403
1504	336.8427
1505	320.45557
1506	317.4117
1507	309.61932
1508	269.87836
1509	322.31387
1510	257.54977
1511	246.90417
1512	218.72086
1513	325.29132
1514	227.63367
1515	291.67096
1516	308.7927
1517	301.6845
1518	293.04175
1519	286.7215
1520	320.57806
1521	293.21964
1522	305.47113
1523	264.9623
1524	315.3707
1525	195.89578
1526	155.9465
1527	314.88605
1528	276.706
1529	274.487
1530	238.97574
1531	258.95905
1532	232.9943
1533	302.0362
1534	284.52606
1535	264.58057
1536	285.42593
1537	295.88248
1538	271.95886
1539	326.21838
1540	275.08075
1541	293.70465
1542	309.03683
1543	128.41342
1544	268.33325
1545	253.311
1546	213.52701
1547	234.29092
1548	305.2588
1549	330.72562
1550	305.6598
1551	316.216
1552	316.56244
1553	317.78708
1554	278.7143
1555	267.4759
1556	326.5647
1557	295.8519
1558	222.3612
1559	306.41205
1560	318.48676
1561	281.0785
1562	261.55463
1563	247.1879
1564	219.68282
1565	295.3207
1566	304.07016
1567	318.2329
1568	302.24918
1569	260.72226
1570	223.33745
1571	294.34613
1572	305.07977
1573	262.58066
1574	294.75497
1575	302.16168
1576	280.25
1577	297.29114
1578	254.60735
1579	293.40106
1580	308.64453
1581	302.83795
1582	199.80855
1583	330.8964
1584	294.33517
1585	311.26782
1586	180.61743
1587	312.2655
1588	287.3621
1589	322.19238
1590	215.96152
1591	318.18933
1592	251.04935
1593	268.52106
1594	292.1163
1595	308.10297
1596	317.51877
1597	279.1131
1598	149.88876
1599	302.3548
1600	310.9961
1601	286.85797
1602	226.65634
1603	307.24222
1604	302.86282
1605	286.4464
1606	292.35776
1607	243.23381
1608	170.17715
1609	298.32843
1610	308.7906
1611	299.64764
1612	117.05803
1613	312.2033
1614	271.74756
1615	299.62946
1616	306.70203
1617	267.27698
1618	329.61987
1619	282.50577
1620	253.91719
1621	284.37344
1622	330.18573
1623	270.9894
1624	265.10687
1625	312.02582
1626	245.73808
1627	312.1235
1628	332.84747
1629	225.04008
1630	307.7885
1631	250.77542
1632	220.12366
1633	290.09665
1634	283.39117
1635	314.0082
1636	309.54132
1637	269.10132
1638	259.4793
1639	299.03598
1640	267.3038
1641	271.75317
1642	276.4466
1643	233.8514
1644	298.26187
1645	249.42427
1646	291.76602
1647	324.3647
1648	304.83435
1649	301.74844
1650	284.99823
1651	233.87129
1652	330.60645
1653	262.094
1654	282.13254
1655	225.25034
1656	305.42758
1657	277.03604
1658	317.43335
1659	253.57211
1660	283.30292
1661	296.0794
1662	285.85092
1663	314.20782
1664	326.58234
1665	223.30777
1666	279.39682
1667	269.5081
1668	278.4743
1669	320.4459
1670	303.22867
1671	258.2628
1672	308.83295
1673	275.40497
1674	312.89346
1675	295.32
1676	269.8803
1677	263.57578
1678	317.25323
1679	218.36523
1680	269.00677
1681	303.27466
1682	122.91484
1683	292.0565
1684	74.60032
1685	313.82834
1686	319.46774
1687	258.1573
1688	312.10635
1689	84.54754
1690	92.335434
1691	309.41022
1692	6.3154626
1693	322.83676
1694	305.98752
1695	275.85864
1696	315.0655
1697	274.59082
1698	198.19156
1699	291.35287
1700	248.31259
1701	256.40897
1702	254.01904
1703	320.81757
1704	251.10706
1705	227.33916
1706	320.02597
1707	294.0578
1708	214.89243
1709	266.46478
1710	331.86627
1711	286.90738
1712	283.11902
1713	282.84967
1714	278.4876
1715	268.42413
1716	75.47115
1717	268.8273
1718	313.11194
1719	250.56477
1720	216.18478
1721	252.45158
1722	284.6577
1723	312.86536
1724	313.028
1725	316.20862
1726	231.5961
1727	293.6729
1728	323.35788
1729	309.68585
1730	223.71988
1731	305.94928
1732	308.46304
1733	228.64922
1734	299.85516
1735	255.60727
1736	303.53485
1737	319.21832
1738	265.861
1739	253.61003
1740	320.4611
1741	270.4856
1742	293.65405
1743	277.21698
1744	314.66766
1745	298.64413
1746	245.70639
1747	305.98505
1748	289.3492
1749	230.36438
1750	283.1819
1751	318.90787
1752	322.04462
1753	201.65492
1754	132.56915
1755	219.2738
1756	323.23676
1757	290.8742
1758	295.91168
1759	303.58954
1760	206.8186
1761	315.9955
1762	327.2353
1763	303.69354
1764	287.29056
1765	264.18915
1766	158.708
1767	296.46368
1768	292.83246
1769	303.26385
1770	235.92258
1771	317.933
1772	190.87422
1773	293.48108
1774	327.57626
1775	274.05515
1776	298.95767
1777	270.0735
1778	247.11734
1779	246.50066
1780	292.41498
1781	214.41666
1782	287.03598
1783	307.94913
1784	310.6955
1785	297.97397
1786	322.78464
1787	245.1668
1788	256.69916
1789	316.04724
1790	301.7465
1791	261.23248
1792	297.471
1793	300.22812
1794	272.07346
1795	306.67963
1796	302.17303
1797	301.09262
1798	283.8764
1799	307.3354
1800	335.30923
1801	309.5006
1802	317.15494
1803	264.0414
1804	294.7962
1805	287.78595
1806	310.43106
1807	279.4024
1808	196.03947
1809	230.25676
1810	213.19974
1811	301.32584
1812	304.61444
1813	307.0882
1814	270.7889
1815	320.97723
1816	286.32867
1817	225.5739
1818	281.02222
1819	309.802
1820	273.9096
1821	245.23418
1822	319.84576
1823	321.14423
1824	302.10056
1825	317.06842
1826	289.1781
1827	304.1649
1828	268.53113
1829	324.93033
1830	282.8958
1831	273.08502
1832	302.08615
1833	284.90326
1834	292.2264
1835	230.3532
1836	289.07236
1837	304.22784
1838	310.33188
1839	296.6015
1840	269.4869
1841	306.22485
1842	323.30292
1843	311.80438
1844	293.12827
1845	258.60358
1846	281.335
1847	215.54587
1848	310.0506
1849	294.2605
1850	278.6486
1851	304.61206
1852	303.72964
1853	286.6137
1854	288.7038
1855	303.76093
1856	312.05634
1857	183.24326
1858	257.6316
1859	303.37466
1860	306.6136
1861	299.50323
1862	325.99893
1863	319.61823
1864	280.71964
1865	326.90186
1866	307.15048
1867	280.9997
1868	302.1808
1869	271.95667
1870	205.37076
1871	280.74045
1872	279.9004
1873	327.13336
1874	212.68896
1875	313.38483
1876	276.39633
